City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Key West,US,75.2,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
212,Viedma,AR,69.91,broken clouds,-40.8135,-62.9967,Hotel Cristal
214,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
222,Nelson,NZ,68.29,overcast clouds,-41.2833,173.2833,Rutherford Hotel Nelson
224,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
226,Jiazi,CN,60.39,few clouds,22.8779,116.067,Hotel Jin Hao
232,Laguna,US,61.3,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
236,Geraldton,AU,75.61,light rain,-28.7667,114.6,Broadwater Mariner Resort
237,Safaga,EG,66.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
247,Ixtapa,MX,60.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
249,Katobu,ID,76.14,overcast clouds,-4.9408,122.5276,La Ode Husein
251,Lasem,ID,76.87,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
254,Srandakan,ID,78.28,light rain,-7.9386,110.2506,Puri Brata
256,Gualaquiza,EC,77.29,light rain,-3.4,-78.55,Hotel Merceditas
259,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
260,Mosquera,CO,62.69,broken clouds,4.7059,-74.2302,Hotel SJ
261,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
263,Coquimbo,CL,68.72,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
264,Bhigvan,IN,76.64,clear sky,18.3167,74.7667,Hotel Sagar
267,Sundumbili,ZA,79.11,light rain,-29.1337,31.3975,The Plover Bed and Breakfast
270,Batticaloa,LK,78.85,overcast clouds,7.7102,81.6924,Grand Star Guest House
272,Celestun,MX,75.47,few clouds,20.8667,-90.4,Posada Lilia
280,Jepelacio,PE,78.04,overcast clouds,-6.1167,-76.95,Fundo ecológico Yajáuwajah
288,Batemans Bay,AU,65.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
292,Lebu,CL,60.48,clear sky,-37.6167,-73.65,Hostal Las Lilas
293,Port Elizabeth,ZA,75.49,clear sky,-33.918,25.5701,39 On Nile Guest House
300,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
305,Novo Aripuana,BR,77.18,light rain,-5.1206,-60.3797,Hotel Ezequiel
306,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
310,Sayyan,YE,60.6,clear sky,15.1718,44.3244,ملاطف ابوحورية
312,Rumonge,BI,73.51,light rain,-3.9736,29.4386,Kwetu Guest House
313,Waddan,LY,60.82,clear sky,29.1614,16.139,محل الشريف محمد العايب
334,Gizo,SB,78.66,light rain,-8.103,156.8419,Imagination Island
340,Tabas,IR,60.39,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
341,Marawi,PH,66.65,broken clouds,7.9986,124.2928,Derogongan Residence
344,Kawardha,IN,60.91,clear sky,22.0167,81.25,STARiHOTELS Raipur Road kawardha
346,Sungaipenuh,ID,64.67,overcast clouds,-2.0833,101.3833,penginapan citra alam
348,Ballina,AU,69.76,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
354,Auki,SB,74.98,overcast clouds,-8.7676,160.7034,Auki Motel
357,Pandan,PH,77.5,broken clouds,14.0453,124.1694,Bonifacio Lodge
361,Pangkalanbuun,ID,74.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
